universitas;peringkat;noSK;tahunSK;wilayah;tanggalKadaluarsa;statusKadaluarsa
Sekolah Tinggi Ilmu Kesehatan Mahardika Cirebon;C;749/SK/BAN-PT/Akred/PT/VII/2015;2015;4;2020-07-10;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Majapahit;C;235/SK/BAN-PT/Akred/PT/VII/2014;2014;7;2019-07-19;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Mandala Waluya;C;031/SK/BAN-PT/Akred/PT/I/2014;2014;9;2019-01-16;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Marendeng Majene;C;613/SK/BAN-PT/Akred/PT/VI/2015;2015;9;2020-06-27;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Mataram;C;0038/SK/BAN-PT/Akred/PT/I/2016;2016;8;2021-01-29;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Medika Cikarang;B;3117/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Medistra Lubuk Pakam;B;0580/SK/BAN-PT/Akred/PT/V/2016;2016;1;2021-05-20;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Mega Buana Palopo;C;1240/SK/BAN-PT/Akred/PT/XI/2015;2015;9;2020-12-19;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Mega Rezky;C;221/SK/BAN-PT/Akred/PT/IV/2015;2015;9;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Mitra Bunda Persada Batam;B;724/SK/BAN-PT/Akred/PT/VII/2015;2015;10;2020-07-10;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Mitra Husada Karanganyar;B;1279/SK/BAN-PT/Akred/PT/XII/2015;2015;6;2020-12-29;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Mitra Kencana;C;243/SK/BAN-PT/Akred/PT/IV/2015;2015;4;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Gombong;B;478/SK/BAN-PT/Akred/PT/V/2015;2015;6;2020-05-23;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Kudus;B;1520/SK/BAN-PT/Akred/PT/VIII/2016;2016;6;2021-08-04;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Lamongan;C;164/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Manado;C;556/SK/BAN-PT/Akred/PT/VI/2015;2015;9;2020-06-22;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Palembang;B;332/SK/BAN-PT/Akred/PT/VIII/2014;2014;2;2019-08-30;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Pekajangan;B;542/SK/BAN-PT/Akred/PT/VI/2015;2015;6;2020-06-22;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Pringsewu Lampung;B;546/SK/BAN-PT/Akred/PT/VI/2015;2015;2;2020-06-22;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Sidrap;C;641/SK/BAN-PT/Akred/PT/VI/2015;2015;9;2020-06-27;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Nahdlatul Ulama Tuban;C;281/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-18;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Nani Hasanuddin;B;400/SK/BAN-PT/Akred/PT/V/2015;2015;9;2020-05-15;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Nurul Jadid;C;247/SK/BAN-PT/Akred/PT/VII/2014;2014;7;2019-07-19;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Nusantara Jaya Makassar;C;364/SK/BAN-PT/Akred/PT/V/2015;2015;9;2020-05-09;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Nusantara Lasinrang;C;895/SK/BAN-PT/Akred/PT/VIII/2015;2015;9;2020-08-21;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Nusantara Oebobo;B;1090/SK/BAN-PT/Akred/PT/VII/2016;2016;8;2021-07-01;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Panrita Husada;C;171/SK/BAN-PT/Akred/PT/IV/2015;2015;9;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Patria Husada;C;695/SK/BAN-PT/Akred/PT/VII/2015;2015;7;2020-07-04;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Pemkab Jombang;C;238/SK/BAN-PT/Akred/PT/VII/2014;2014;7;2019-07-19;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Permata Nusantara;C;1035/SK/BAN-PT/Akred/PT/VI/2016;2016;10;2021-06-17;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Pertamedika;B;3138/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan RS Baptis Kediri;B;1041/SK/BAN-PT/Akred/PT/X/2015;2015;7;2020-10-03;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Santo Borromeus;B;3114/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Sari Mulia;B;2652/SK/BAN-PT/Akred/PT/XI/2016;2016;11;2021-11-24;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Siti Khadijah;C;238/SK/BAN-PT/Akred/PT/IV/2015;2015;2;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Stella Maris Makassar;C;416/SK/BAN-PT/Akred/PT/V/2015;2015;9;2020-05-15;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Surabaya;C;1022/SK/BAN-PT/Akred/PT/VI/2016;2016;7;2021-06-17;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Surya Global;C;152/SK/BAN-PT/Akred/PT/IV/2015;2015;5;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Surya Mitra Husada;B;992/SK/BAN-PT/Ak-SURV/PT/IX/2015;2015;7;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Syedza Saintika;B;0707/SK/BAN-PT/Ak-SURV/PT/VI/2016;2016;10;2021-06-02;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Tana Toraja;C;611/SK/BAN-PT/Akred/PT/VI/2015;2015;9;2020-06-27;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Tanawali Persada;C;235/SK/BAN-PT/Akred/PT/IV/2015;2015;9;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Widya Cipta Husada;C;497/SK/BAN-PT/Akred/PT/V/2015;2015;7;2020-05-23;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Widya Nusantara;C;976/SK/BAN-PT/Akred/PT/IX/2015;2015;9;2020-09-03;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Widyagama Husada;C;3158/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Wira Medika Bali;C;696/SK/BAN-PT/Akred/PT/VII/2015;2015;8;2020-07-04;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Wiyata Husada Samarinda;B;640/SK/BAN-PT/Akred/PT/VI/2015;2015;11;2020-06-27;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Yapika Makassar;C;620/SK/BAN-PT/Akred/PT/VI/2015;2015;9;2020-06-27;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Yarsi Mataram;C;160/SK/BAN-PT/Akred/PT/IV/2015;2015;8;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan Yarsi Pontianak;C;551/SK/BAN-PT/Akred/PT/VI/2015;2015;11;2020-06-22;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan YPAK Padang;B;954/SK/BAN-PT/Akred/PT/VIII/2015;2015;10;2020-08-29;Masih berlaku
Sekolah Tinggi Ilmu Kesehatan YPIB;C;155/SK/BAN-PT/Akred/PT/IV/2015;2015;4;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Kesejahteraan Sosial Manado;C;557/SK/BAN-PT/Akred/PT/VI/2015;2015;9;2020-06-22;Masih berlaku
Sekolah Tinggi Ilmu Komputer Al-Khairiyah;C;686/SK/BAN-PT/Akred/PT/VII/2015;2015;4;2020-07-04;Masih berlaku
Sekolah Tinggi Ilmu Komputer Binaniaga;C;480/SK/BAN-PT/Akred/PT/V/2015;2015;4;2020-05-23;Masih berlaku
Sekolah Tinggi Ilmu Komputer Cipta Karya Informatika Jakarta;C;1005/SK/BAN-PT/Akred/PT/X/2015;2015;3;2020-09-19;Masih berlaku
Sekolah Tinggi Ilmu Komputer PGRI Banyuwangi;C;486/SK/BAN-PT/Akred/PT/V/2015;2015;7;2020-05-23;Masih berlaku
Sekolah Tinggi Ilmu Komputer Yos Sudarso;C;984/SK/BAN-PT/Akred/PT/IX/2015;2015;6;2020-09-03;Masih berlaku
Sekolah Tinggi Ilmu Komunikasi Aws;B;285/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-18;Masih berlaku
Sekolah Tinggi Ilmu Komunikasi Bandung;C;683/SK/BAN-PT/Akred/PT/VII/2015;2015;4;2020-07-04;Masih berlaku
Sekolah Tinggi Ilmu Komunikasi dan Sekretari Tarakanita;B;570/SK/BAN-PT/Akred/PT/VI/2015;2015;3;2020-06-22;Masih berlaku
Sekolah Tinggi Ilmu Majanemen Nitro Makassar;B;154/SK/BAN-PT/Akred/PT/IV/2015;2015;9;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Manajemen AMKOP;C;208/SK/BAN-PT/Akred/PT/IV/2015;2015;2;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Manajemen Boalemo;C;3094/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Sekolah Tinggi Ilmu Manajemen Gorontalo;C;3156/SK/BAN-PT/Akred/PT/XII/2016;2016;9;2021-12-27;Masih berlaku
Sekolah Tinggi Ilmu Manajemen Handayani;C;366/SK/BAN-PT/Akred/PT/V/2015;2015;8;2020-05-09;Masih berlaku
Sekolah Tinggi Ilmu Manajemen Indonesia Banjarmasin;C;244/SK/BAN-PT/Akred/PT/VII/2014;2014;11;2019-07-19;Masih berlaku
Sekolah Tinggi Ilmu Maritim Mutiara Jaya Lampung;C;1785/SK/BAN-PT/Akred/PT/IX/2016;2016;2;2021-09-02;Masih berlaku
Sekolah Tinggi Ilmu Pariwisata Manado;C;432/SK/BAN-PT/Akred/PT/V/2015;2015;9;2020-05-15;Masih berlaku
Sekolah Tinggi Ilmu Pelayaran Jakarta;A;3005/SK/BAN-PT/Akred/PT/XII/2016;2016;3;2021-12-20;Masih berlaku
Sekolah Tinggi Ilmu Pendidikan Bunga Bangsa;C;746/SK/BAN-PT/Akred/PT/VII/2015;2015;11;2020-07-10;Masih berlaku
Sekolah Tinggi Ilmu Perikanan Malang;C;578/SK/BAN-PT/Akred/PT/VI/2015;2015;7;2020-06-22;Masih berlaku
Sekolah Tinggi Ilmu Pertanian Amuntai;C;261/SK/BAN-PT/Akred/PT/IV/2015;2015;11;2020-04-18;Masih berlaku
Sekolah Tinggi Ilmu Pertanian Graha Karya;C;357/SK/BAN-PT/Akred/PT/V/2015;2015;10;2020-05-09;Masih berlaku
Sekolah Tinggi Ilmu Pertanian Jember;C;361/SK/BAN-PT/Akred/PT/V/2015;2015;7;2020-05-09;Masih berlaku
Sekolah Tinggi Ilmu Pertanian Kendari;C;759/SK/BAN-PT/Akred/PT/VII/2015;2015;9;2020-07-10;Masih berlaku
Sekolah Tinggi Ilmu Pertanian Muhammadiyah Sinjai;C;276/SK/BAN-PT/Akred/PT/IV/2015;2015;9;2020-04-18;Masih berlaku
Sekolah Tinggi Ilmu Pertanian Muhammadiyah Tanah Grogot;C;1228/SK/BAN-PT/Akred/PT/XI/2015;2015;11;2020-12-19;Masih berlaku
Sekolah Tinggi Ilmu Pertanian Rejang Lebong;C;1646/SK/BAN-PT/Akred/PT/VIII/2016;2016;2;2021-08-26;Masih berlaku
Sekolah Tinggi Ilmu Pertanian Wuna Raha;C;921/SK/BAN-PT/Akred/PT/VIII/2015;2015;9;2020-08-29;Masih berlaku
Sekolah Tinggi Ilmu Sosial dan Ilmu Politik Kartika Bangsa;C;233/SK/BAN-PT/Akred/PT/IV/2015;2015;5;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Sosial dan Ilmu Politik Muhammadiyah Rappang;C;229/SK/BAN-PT/Akred/PT/VII/2014;2014;9;2019-07-19;Masih berlaku
Sekolah Tinggi Ilmu Sosial dan Ilmu Politik Muhammadiyah Sinjai;C;149/SK/BAN-PT/Akred/PT/IV/2015;2015;9;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Sosial dan Ilmu Politik Mujahidin;C;1033/SK/BAN-PT/Akred/PT/VI/2016;2016;9;2021-06-17;Masih berlaku
Sekolah Tinggi Ilmu Sosial dan Ilmu Politik Panca Bhakti Palu;C;907/SK/BAN-PT/Akred/PT/VIII/2015;2015;9;2020-08-21;Masih berlaku
Sekolah Tinggi Ilmu Sosial dan Ilmu Politik Persada Bunda;C;198/SK/BAN-PT/Akred/PT/IV/2015;2015;10;2020-04-10;Masih berlaku
Sekolah Tinggi Ilmu Sosial dan Ilmu Politik Silas Papare Jayapura;C;318/SK/BAN-PT/Akred/PT/VIII/2014;2014;14;2019-08-30;Masih berlaku
Sekolah Tinggi Ilmu Sosial dan Politik Amal Ilmiah Yapis Wamena;C;889/SK/BAN-PT/Akred/PT/VIII/2015;2015;14;2020-08-21;Masih berlaku
Sekolah Tinggi Ilmu Sosial dan Politik Candradimuka;C;875/SK/BAN-PT/Akred/PT/VIII/2015;2015;2;2020-08-21;Masih berlaku
Sekolah Tinggi Ilmu Sosial dan Politik Mbojo;B;379/SK/BAN-PT/Akred/PT/V/2015;2015;8;2020-05-09;Masih berlaku
Sekolah Tinggi Ilmu Sosial dan Politik Waskita Dharma Malang;C;822/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-07;Masih berlaku
Sekolah Tinggi Ilmu Syari'ah Al-Hilal Sigli;C;1280/SK/BAN-PT/Akred/PT/XII/2015;2015;13;2020-12-29;Masih berlaku
Sekolah Tinggi Ilmu Syariah Al-Wahidiyah Kediri;B;920/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-29;Masih berlaku
Sekolah Tinggi Ilmu Tarbiyah Al Hilal Sigli;C;1231/SK/BAN-PT/Akred/PT/XI/2015;2015;13;2020-12-19;Masih berlaku
Sekolah Tinggi Ilmu Tarbiyah Al-Amin Indramayu;C;558/SK/BAN-PT/Akred/PT/VI/2015;2015;4;2020-06-22;Masih berlaku
Sekolah Tinggi Ilmu Tarbiyah Al-Azhar Diniyah;C;624/SK/BAN-PT/Akred/PT/VI/2015;2015;10;2020-06-27;Masih berlaku
Sekolah Tinggi Ilmu Tarbiyah Al-Chaeriyah Mamuju Sulawesi Barat;C;0791/SK/BAN-PT/Akred/PT/VI/2016;2016;9;2021-06-10;Masih berlaku
Sekolah Tinggi Ilmu Tarbiyah Al-Ishlah;C;1047/SK/BAN-PT/Akred/PT/X/2015;2015;7;2020-10-03;Masih berlaku
Sekolah Tinggi Ilmu Tarbiyah Al-Marhalah Al-Uya Bekasi;C;687/SK/BAN-PT/Akred/PT/VII/2015;2015;4;2020-07-04;Masih berlaku
Sekolah Tinggi Ilmu Tarbiyah Al-Quraniyah Manna;C;1236/SK/BAN-PT/Akred/PT/XI/2015;2015;2;2020-12-19;Masih berlaku
Sekolah Tinggi Ilmu Tarbiyah Aqidah Usymuni;C;939/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-29;Masih berlaku
Sekolah Tinggi Ilmu Tarbiyah Ar-Risalah;C;924/SK/BAN-PT/Akred/PT/VIII/2015;2015;10;2020-08-29;Masih berlaku
Sekolah Tinggi Ilmu Tarbiyah Dar Aswaja Rokan Hilir;C;1932/SK/BAN-PT/Akred/PT/IX/2016;2016;10;2021-09-08;Masih berlaku
Sekolah Tinggi Ilmu Tarbiyah Darul Fattah;C;1037/SK/BAN-PT/Akred/PT/VI/2016;2016;2;2021-06-17;Masih berlaku
Sekolah Tinggi Ilmu Tarbiyah Jembrana;C;623/SK/BAN-PT/Akred/PT/VI/2015;2015;8;2020-06-27;Masih berlaku
Sekolah Tinggi Ilmu Tarbiyah Maskumambang Gresik;C;785/SK/BAN-PT/Akred/PT/VII/2015;2015;8;2020-08-24;Masih berlaku
Sekolah Tinggi Ilmu Tarbiyah Misbahul Ulum Gumawang;C;2651/SK/BAN-PT/Akred/PT/XI/2016;2016;2;2021-11-24;Masih berlaku
Sekolah Tinggi Ilmu Tarbiyah Muhammadiyah Aceh Barat Daya;C;909/SK/BAN-PT/Akred/PT/VIII/2015;2015;13;2020-08-21;Masih berlaku
Sekolah Tinggi Ilmu Tarbiyah Muhammadiyah Bangil;C;1232/SK/BAN-PT/Akred/PT/XI/2015;2015;7;2020-12-19;Masih berlaku
Sekolah Tinggi Ilmu Tarbiyah Muhammadiyah Banjar;C;352/SK/BAN-PT/Akred/PT/V/2015;2015;4;2020-05-09;Masih berlaku
Sekolah Tinggi Ilmu Tarbiyah Muhammadiyah Bojonegoro;B;601/SK/BAN-PT/Akred/PT/VI/2015;2015;7;2020-06-27;Masih berlaku
Sekolah Tinggi Ilmu Tarbiyah Muhammadiyah Paciran;C;0095/SK/BAN-PT/Akred/PT/III/2016;2016;7;2021-03-05;Masih berlaku
Sekolah Tinggi Ilmu Tarbiyah Pringsewu;C;1007/SK/BAN-PT/Akred/PT/X/2015;2015;2;2020-09-19;Masih berlaku
Sekolah Tinggi Ilmu Tarbiyah Raden Wijaya;C;911/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-21;Masih berlaku
Sekolah Tinggi Ilmu Tarbiyah Sunan Giri Bima;C;865/SK/BAN-PT/Akred/PT/VIII/2015;2015;8;2020-08-21;Masih berlaku
Sekolah Tinggi Ilmu Ushuluddin Darul Hikmah;C;870/SK/BAN-PT/Akred/PT/VIII/2015;2015;4;2020-08-21;Masih berlaku
Sekolah Tinggi Informatika dan Komputer Indonesia Malang;C;3131/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Sekolah Tinggi Informatika dan Multimedia Nusa Palapa;C;1050/SK/BAN-PT/Akred/PT/X/2015;2015;9;2020-10-03;Masih berlaku
Sekolah Tinggi Intelijen Negara;B;185/SK/BAN-PT/Akred/PT/IV/2015;2015;4;2020-04-10;Masih berlaku
Sekolah Tinggi Islam Blambangan;C;716/SK/BAN-PT/Akred/PT/VII/2015;2015;7;2020-07-10;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Al Azhar Diniyah Jambi;C;873/SK/BAN-PT/Akred/PT/VIII/2015;2015;10;2020-08-21;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Al Islam Tunas Bangsa Bandar Lampung;C;447/SK/BAN-PT/Akred/PT/V/2015;2015;2;2020-05-15;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Andi Matappa;C;3162/SK/BAN-PT/Akred/PT/XII/2016;2016;9;2021-12-27;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Bima;C;752/SK/BAN-PT/Akred/PT/VII/2015;2015;8;2020-07-10;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Citra Bakti;C;3123/SK/BAN-PT/Akred/PT/XII/2016;2016;11;2021-12-27;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Darud Da wah Wal Irsyad Mamuju;C;0096/SK/BAN-PT/Akred/PT/III/2015;2016;9;2021-03-05;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Darud Da'wah Wal Irsyad Polewali Mandar;C;897/SK/BAN-PT/Akred/PT/VIII/2015;2015;9;2020-08-21;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Hamzanwadi;B;220/SK/BAN-PT/Akred/PT/VII/2014;2014;8;2019-07-19;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Hatta Sjahrir Banda Naira;C;883/SK/BAN-PT/Akred/PT/VIII/2015;2015;12;2020-08-21;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Insan Madani Airmolek;C;945/SK/BAN-PT/Akred/PT/VIII/2015;2015;10;2020-08-29;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Kie Raha;C;226/SK/BAN-PT/Akred/PT/VII/2014;2014;12;2019-07-19;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Melawi;C;1044/SK/BAN-PT/Akred/PT/X/2015;2015;11;2020-10-03;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Muhammadiyah Bangka Belitung;C;304/SK/BAN-PT/Akred/PT/IV/2015;2015;2;2020-04-18;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Muhammadiyah Bone;C;1288/SK/BAN-PT/Akred/PT/XII/2015;2015;9;2020-12-29;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Muhammadiyah Bulukumba;C;385/SK/BAN-PT/Akred/PT/V/2015;2015;9;2020-05-09;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Muhammadiyah Kuningan;C;1053/SK/BAN-PT/Akred/PT/X/2015;2015;4;2020-10-03;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Muhammadiyah Lumajang;C;2650/SK/BAN-PT/Akred/PT/XI/2016;2016;7;2021-11-24;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Muhammadiyah Manokwari;C;405/SK/BAN-PT/Akred/PT/V/2015;2015;14;2020-05-15;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Muhammadiyah Pringsewu;C;188/SK/BAN-PT/Akred/PT/IV/2015;2015;2;2020-04-10;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Muhammadiyah Sampit;C;329/SK/BAN-PT/Akred/PT/VIII/2014;2014;11;2019-08-30;Masih berlaku
Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Muhammadiyah Sorong;B;1241/SK/BAN-PT/Akred/PT/XI/2015;2015;14;2020-12-19;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Nurul Huda;C;237/SK/BAN-PT/Akred/PT/IV/2015;2015;2;2020-04-10;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Persada Khatulistiwa Sintang;C;0068/SK/BAN-PT/Akred/PT/II/2016;2016;11;2021-02-12;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Bandar Lampung;B;567/SK/BAN-PT/Akred/PT/VI/2015;2015;2;2020-06-22;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Bangkalan;C;1281/SK/BAN-PT/Akred/PT/XII/2015;2015;7;2020-12-29;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Banjarmasin;C;492/SK/BAN-PT/Akred/PT/V/2015;2015;11;2020-05-23;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Jombang;B;288/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-18;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Lumajang;C;944/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-29;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Pacitan;B;1101/SK/BAN-PT/Akred/PT/X/2016;2015;7;2020-10-24;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Pasuruan;B;2666/SK/BAN-PT/Akred/PT/XI/2016;2016;7;2021-11-24;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Sampang;C;927/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-29;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Sidoarjo;C;334/SK/BAN-PT/Akred/PT/VIII/2014;2014;7;2019-08-30;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Situbondo;C;314/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-25;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Sumatera Barat;C;336/SK/BAN-PT/Akred/PT/VIII/2014;2014;10;2019-08-30;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Sumenep;C;1221/SK/BAN-PT/Akred/PT/XI/2015;2015;7;2020-12-19;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Tulungagung;B;0793/SK/BAN-PT/Akred/PT/VI/2016;2016;7;2021-06-10;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Purnama;C;751/SK/BAN-PT/Akred/PT/VII/2015;2015;3;2020-07-10;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Sebelas April Sumedang;C;1070/SK/BAN-PT/Akred/PT/X/2015;2015;4;2020-10-03;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Setia Budhi Rangkasbitung;C;626/SK/BAN-PT/Akred/PT/VI/2015;2015;4;2020-06-27;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Siliwangi;B;0553/SK/BAN-PT/Akred/PT/V/2016;2016;4;2021-05-20;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Tapanuli Selatan;C;729/SK/BAN-PT/Akred/PT/VII/2015;2015;1;2020-07-10;Masih berlaku
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Yayasan Dharma Bakti Lubuk Alung;C;1066/SK/BAN-PT/Akred/PT/X/2015;2015;10;2020-10-03;Masih berlaku
Sekolah Tinggi Keguruan Dan Ilmu Pendidikan YPUP;C;545/SK/BAN-PT/Akred/PT/VI/2015;2015;9;2020-06-22;Masih berlaku
Sekolah Tinggi Keguruan Ilmu Pendidikan Yayasan Abdi Pendidikan Bukittinggi;C;880/SK/BAN-PT/Akred/PT/VIII/2015;2015;10;2020-08-21;Masih berlaku
Sekolah Tinggi Kesenian Wilwatikta. Surabaya;C;417/SK/BAN-PT/Akred/PT/V/2015;2015;7;2020-05-15;Masih berlaku
Sekolah Tinggi Manajemen dan Ilmu Komputer Raharja;B;1022/SK/BAN-PT/Akred/PT/X/2015;2015;4;2020-10-03;Masih berlaku
Sekolah Tinggi Manajemen Informatika dan Komputer Adhi Guna;C;612/SK/BAN-PT/Akred/PT/VI/2015;2015;9;2020-06-27;Masih berlaku
Sekolah Tinggi Manajemen Informatika dan Komputer Akakom;B;496/SK/BAN-PT/Akred/PT/V/2015;2015;5;2020-05-23;Masih berlaku
Sekolah Tinggi Manajemen Informatika dan Komputer AKBA;C;622/SK/BAN-PT/Akred/PT/VI/2015;2015;9;2020-06-27;Masih berlaku
Sekolah Tinggi Manajemen Informatika dan Komputer AMIKOM Yogyakarta;B;033/SK/BAN-PT/Akred/PT/I/2014;2014;5;2019-01-16;Masih berlaku
Sekolah Tinggi Manajemen Informatika dan Komputer Atma Luhur;C;682/SK/BAN-PT/Akred/PT/VII/2015;2015;2;2020-07-04;Masih berlaku
