universitas;peringkat;noSK;tahunSK;wilayah;tanggalKadaluarsa;statusKadaluarsa
Akademi Keperawatan Panti Kosala Surakarta;B;3096/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Akademi Keperawatan Panti Waluya;B;941/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-29;Masih berlaku
Akademi Keperawatan Pemerintah Kabupaten Kota Waringin Timur;C;3148/SK/BAN-PT/Akred/PT/XII/2016;2016;11;2021-12-27;Masih berlaku
Akademi Keperawatan PPNI Kendari;C;614/SK/BAN-PT/Akred/PT/VI/2015;2015;9;2020-06-27;Masih berlaku
Akademi Keperawatan RSP TNI-AU Jakarta;C;295/SK/BAN-PT/Akred/PT/IV/2015;2015;3;2020-04-18;Masih berlaku
Akademi Keperawatan Rumah Sakit Marthen Indey;C;2143/SK/BAN-PT/Akred/PT/IX/2016;2016;14;2021-09-29;Masih berlaku
Akademi Keperawatan Rumkit Tingkat III Manado;C;3143/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Akademi Keperawatan Sawerigading Pemda Luwu;C;1032/SK/BAN-PT/Akred/PT/X/2015;2015;9;2020-10-03;Masih berlaku
Akademi Keperawatan Wirahusada Medan;C;0094/SK/BAN-PT/Akred/PT/III/2016;2016;1;2021-03-05;Masih berlaku
Akademi Keperawatan Yapenas 21 Maros;C;488/SK/BAN-PT/Akred/PT/V/2015;2015;9;2020-05-23;Masih berlaku
Akademi Keperawatan Yatna Yuana Lebak;C;610/SK/BAN-PT/Akred/PT/VI/2015;2015;4;2020-06-27;Masih berlaku
Akademi Keperawatan Yayasan Pendidikan Imam Bonjol Majalengka;C;863/SK/BAN-PT/Akred/PT/VIII/2015;2015;4;2020-08-21;Masih berlaku
Akademi Keperawatan YKY Yogyakarta;C;293/SK/BAN-PT/Akred/PT/IV/2015;2015;5;2020-04-18;Masih berlaku
Akademi Keperawatan YPPP Wonomulyo;C;693/SK/BAN-PT/Akred/PT/VII/2015;2015;9;2020-07-04;Masih berlaku
Akademi Kepolisian;A;0570/SK/BAN-PT/Akred/PT/V/2016;2016;6;2021-05-20;Masih berlaku
Akademi Kesehatan Gigi Kendari;C;377/SK/BAN-PT/Akred/PT/V/2015;2015;9;2020-05-09;Masih berlaku
Akademi Kesehatan Lingkungan Muhammadiyah Makassar;C;232/SK/BAN-PT/Akred/PT/IV/2015;2015;9;2020-04-10;Masih berlaku
Akademi Kesehatan Rajekwesi Bojonegoro;C;170/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-10;Masih berlaku
Akademi Kesehatan rustida;C;275/SK/BAN-PT/Akred/PT/IV/2015;2015;5;2020-04-18;Masih berlaku
Akademi Kesehatan Sapta Bakti Bengkulu;C;859/SK/BAN-PT/Akred/PT/VIII/2015;2015;2;2020-08-21;Masih berlaku
Akademi Keuangan dan Perbankan Graha Arta Khatulistiwa;C;1024/SK/BAN-PT/Akred/PT/X/2015;2015;11;2020-10-03;Masih berlaku
Akademi Keuangan dan Perbankan Riau;C;200/SK/BAN-PT/Akred/PT/IV/2015;2015;10;2020-04-10;Masih berlaku
Akademi Kuliner Monas Pasifik;C;462/SK/BAN-PT/Akred/PT/V/2015;2015;7;2020-05-23;Masih berlaku
Akademi Manajemen Belitung;C;660/SK/BAN-PT/Akred/PT/VII/2015;2015;2;2020-07-04;Masih berlaku
Akademi Manajemen Informatika Dan Komputer Bogor;C;1233/SK/BAN-PT/Akred/PT/XI/2015;2015;4;2020-12-19;Masih berlaku
Akademi Manajemen Informatika dan Komputer Ibrahimy;C;299/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-18;Masih berlaku
Akademi Manajemen Informatika dan Komputer Kosgoro;C;3104/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Akademi Manajemen Informatika dan Komputer Lembah Dempo;C;467/SK/BAN-PT/Akred/PT/V/2015;2015;2;2020-05-23;Masih berlaku
