,kode,prodi,status,jenjang,dosenTetap,mahasiswa,link
20,54211 ,Agroteknologi ,Aktif ,S1 ,56 ,1.208 ,http://forlap.dikti.go.id/prodi/detail/NkRCNENDNUEtMDA3NS00Mjc3LUFCNEEtODA0OEZBRTNGQzcz/0
21,62201 ,Akuntansi ,Aktif ,S1 ,36 ,781 ,http://forlap.dikti.go.id/prodi/detail/NDQyRjZFREUtQzcyNy00ODc0LTg3QjUtQjU4OTRENzU0OTM2/0
22,46201 ,Biologi ,Aktif ,S1 ,76 ,781 ,http://forlap.dikti.go.id/prodi/detail/RjZEMjkzQzgtMjE2NS00NDgxLUI3QTQtOTA4RDg0MUM2NDRE/0
23,54243 ,Budidaya Perairan ,Aktif ,S1 ,12 ,199 ,http://forlap.dikti.go.id/prodi/detail/OTQ3QjEyNjAtNEE2Ri00OUEwLTk1MDctMjBBRjhGRkFGOTQ2/0
24,60201 ,Ekonomi Pembangunan ,Aktif ,S1 ,26 ,698 ,http://forlap.dikti.go.id/prodi/detail/NTc0OThBMUQtN0ZGNy00Q0E0LUJBOTAtQkY5Mjk3Qzk1NTVE/0
25,48201 ,Farmasi ,Aktif ,S1 ,24 ,334 ,http://forlap.dikti.go.id/prodi/detail/QTREMzgyQUMtNUQ1NC00QkNCLTg3MTMtRDQzQkI5NDY2RUYy/0
26,45201 ,Fisika ,Aktif ,S1 ,17 ,233 ,http://forlap.dikti.go.id/prodi/detail/ODc2QkNCOUMtMTQ3MS00QjI2LUIwNDQtRTk3NTU3M0FDMkI4/0
27,64201 ,Hubungan Internasional ,Aktif ,S1 ,11 ,227 ,http://forlap.dikti.go.id/prodi/detail/MUJEQ0FENUQtMjZFMy00RTBCLTk2NEYtOUVEOTlEMkEyRjUw/0
28,63201 ,Ilmu Administrasi Negara ,Aktif ,S1 ,21 ,391 ,http://forlap.dikti.go.id/prodi/detail/NkFDRjcxQ0EtNDY4RS00MUZBLUFCQjgtMUY5MTM0Mjk1MzBE/0
29,41203 ,Ilmu dan Teknologi Pangan ,Aktif ,S1 ,21 ,290 ,http://forlap.dikti.go.id/prodi/detail/NTBDNUQ0QjYtRkMwQS00QkI0LThERUQtNEZBRTJCRjVCMDlG/0
30,13211 ,Ilmu Gizi ,Aktif ,S1 ,6 ,193 ,http://forlap.dikti.go.id/prodi/detail/OUUwNzk5REQtQzIwRi00QjEzLTgxOTctOTU2NjczMDBBQUM2/0
31,74201 ,Ilmu Hukum ,Aktif ,S1 ,64 ,1.770 ,http://forlap.dikti.go.id/prodi/detail/M0Q2RkE1NEUtRDEzMC00M0I3LUFBMUEtMkFCMjg5RUUyNEI2/0
32,54241 ,Ilmu Kelautan ,Aktif ,S1 ,7 ,215 ,http://forlap.dikti.go.id/prodi/detail/MTcwNUMwQUEtRjYwNC00ODIzLUI4MjEtRUM5RDYzMkIzMjE5/0
33,14201 ,Ilmu Keperawatan ,Aktif ,S1 ,29 ,397 ,http://forlap.dikti.go.id/prodi/detail/Mzk5QzhCQTEtQTAzQS00REE1LUIyMzgtMEYwMUQzNDBGQUIw/0
34,70201 ,Ilmu Komunikasi ,Aktif ,S1 ,16 ,367 ,http://forlap.dikti.go.id/prodi/detail/NTEwM0QzMEYtOUFEMi00RDBELUFBQjAtQUVDNUQ3NUQyQ0Mz/0
35,67201 ,Ilmu Politik ,Aktif ,S1 ,17 ,272 ,http://forlap.dikti.go.id/prodi/detail/RDFFMEFCRDQtREJEMC00NjI3LTkwNjUtNTY0NkZFRUQ1N0JD/0
36,11201 ,Kedokteran ,Aktif ,S1 ,57 ,449 ,http://forlap.dikti.go.id/prodi/detail/RDU1MDQzQ0ItRkI3Qy00RTk2LUEzQ0QtMUQwNTA4QUI3QTQy/0
37,13201 ,Kesehatan Masyarakat ,Aktif ,S1 ,27 ,271 ,http://forlap.dikti.go.id/prodi/detail/QjdENjU0QjgtQjYzQS00REFFLUIyMkUtMzFCRTRCNjU4MTBG/0
38,47201 ,Kimia ,Aktif ,S1 ,26 ,226 ,http://forlap.dikti.go.id/prodi/detail/ODRFNTlDNTUtMjAyRi00Rjc2LUI0QjEtMjQ5MzNBRjIzNTdD/0
39,61201 ,Manajemen ,Aktif ,S1 ,24 ,682 ,http://forlap.dikti.go.id/prodi/detail/OTQxOUJDMTMtNTdERi00M0FDLTg2NTUtNjZBODgyODQ4MjE1/0
40,54242 ,Manajemen Sumber Daya Perairan ,Aktif ,S1 ,12 ,192 ,http://forlap.dikti.go.id/prodi/detail/MERGRkMwMzQtNTUyMS00NkM0LTlFNzktODVBM0MzRjQ3ODY3/0
